file,status,note,producer,creation,moddate,dup_ratio
/Users/kobi/dev/ocr-pdf/PDF/החלטה מיום 17.07.23 ניתן צו עיקול זמני - יש לבצע מסירה אישית לפי ההוראות - שחר מורן מרסל.pdf,copied_no_ocr,copy,DTCom Form-IT! SDK 2.0,,Mon Jul 17 17:26:13 2023 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/‎⁨דוח שנתי מפורט לעמיתים בקרן פנסיה חדשה מנורה מבטחים פנסיה לשנת 2020 פעילה - שחר מורן מרסל⁩.pdf,copied_no_ocr,copy,iText® 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),Sun Nov 21 11:42:34 2021 IST,Sun Nov 21 11:42:34 2021 IST,0.0262582056892779
/Users/kobi/dev/ocr-pdf/PDF/15_18_091b.pdf,copied_no_ocr,copy,Microsoft® Word 2010,Wed Aug  8 12:21:35 2018 IDT,Wed Aug  8 12:21:35 2018 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/fvf-june-19.pdf,copied_no_ocr,copy,Microsoft® Word 2016,Thu Jul 11 08:56:22 2019 IDT,Thu Jul 11 08:56:22 2019 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/הורה_קונפליקט_טיפול_אבחון_החלטות.pdf,copied_no_ocr,copy,Microsoft® Word 2016,Wed Apr  9 15:36:47 2025 IDT,Wed Apr  9 15:36:47 2025 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/aay2400-brown-sm.pdf,copied_no_ocr,copy,3-Heights(TM) PDF Security Shell 4.8.25.2 (http://www.pdf-tools.com) / pdcat (www.pdf-tools.com),Mon Jul  8 06:22:06 2019 IDT,Mon Jul  8 15:45:00 2019 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/חשבונית_חשמל_שחר_ספטמבר_2024.pdf,copied_no_ocr,copy,Skia/PDF m86,Thu Oct 31 17:44:31 2024 IST,Thu Oct 31 17:44:31 2024 IST,0.0
/Users/kobi/dev/ocr-pdf/PDF/elk-28-6-20-2004-67.pdf,copied_no_ocr,copy,XeTeX 0.999991,Mon Nov 30 13:54:59 2020 IST,,0.0
/Users/kobi/dev/ocr-pdf/PDF/הערכת שווי חברה לצרכי איזון משאבים - פסקדין.pdf,copied_no_ocr,copy,iOS Version 17.4 (Build 21E217) Quartz PDFContext,Tue Mar  5 08:33:37 2024 IST,Tue Mar  5 08:33:37 2024 IST,0.0
"/Users/kobi/dev/ocr-pdf/PDF/תקנות בית המשפט לענייני משפחה (סדרי דין), תשפ""א-2020.pdf",copied_no_ocr,copy,iOS Version 18.5 (Build 22F76) Quartz PDFContext,Wed Jun 11 00:20:49 2025 IDT,Wed Jun 11 00:20:49 2025 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/15_18_091b copy.pdf,copied_no_ocr,copy,Microsoft® Word 2010,Wed Aug  8 12:21:35 2018 IDT,Wed Aug  8 12:21:35 2018 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/דיון_משפטי_משפחתי_מורכב.pdf,copied_no_ocr,copy,Microsoft® Word 2016,Sun Jul 28 15:15:23 2019 IDT,Tue Aug  6 15:08:57 2019 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/מנהלה+ומפרט+-+מכרז+פומבי+49-2024+אספקת+שירותי+תפעול+ותחזוקה+של.pdf,copied_no_ocr,copy,Microsoft® Word LTSC,Wed Jul 10 14:32:56 2024 IDT,Wed Jul 10 14:32:56 2024 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/ethics_committee_complaint_procedure_december_2023_updated1.pdf,copied_no_ocr,copy,Microsoft® Word 2016,Tue Dec 12 19:40:39 2023 IST,Tue Dec 12 19:40:39 2023 IST,0.0
/Users/kobi/dev/ocr-pdf/PDF/��…˜„ 2020 „™šŒ�…š.pdf,error_1,"redo :: --redo-ocr is not currently compatible with --deskew, --clean-final, and --remove-background",iText® 5.4.5 ©2000-2013 1T3XT BVBA (AGPL-version),Sun Feb 20 12:44:20 2022 IST,Sun Feb 20 12:44:20 2022 IST,0.27884615384615385
/Users/kobi/dev/ocr-pdf/PDF/מנורה 2020 השתלמות.pdf,error_1,"redo :: --redo-ocr is not currently compatible with --deskew, --clean-final, and --remove-background",iText® 5.4.5 ©2000-2013 1T3XT BVBA (AGPL-version),Sun Feb 20 12:44:20 2022 IST,Sun Feb 20 12:44:20 2022 IST,0.27884615384615385
